"abundance.hct_ctr"	"abundance.hct_ki"	"counts.hct_ctr"	"counts.hct_ki"	"length.hct_ctr"	"length.hct_ki"	"countsFromAbundance"
0	0	0	0	791.833333333333	791.833333333333	"no"
0	0	0	0	1105.22222222222	1105.22222222222	"no"
0	0	0	0	1435.54545454545	1435.54545454545	"no"
0	117.813383600378	0	0.750000000000006	4662.66666666666	4662.66666666667	"no"
0	0	0	0	4352.5	4352.5	"no"
0	0	0	0	1812.57142857143	1812.57142857143	"no"
0	0	0	0	2072.53846153846	2072.53846153846	"no"
0	0	0	0	1337.14285714286	1337.14285714286	"no"
0	0	0	0	1564.45454545455	1564.45454545455	"no"
0	0	0	0	1529	1529	"no"
0	0	0	0	2963.33333333333	2963.33333333333	"no"
0	0	0	0	1761.625	1761.625	"no"
0	0	0	0	3157	3157	"no"
0	0	0	0	1846.5	1846.5	"no"
0	0	0	0	1083.86666666667	1083.86666666667	"no"
0	0	0	0	2626.20833333333	2626.20833333333	"no"
0	0	0	0	1648.85714285714	1648.85714285714	"no"
0	0	0	0	1074.30769230769	1074.30769230769	"no"
0	0	0	0	2451.16666666667	2451.16666666667	"no"
0	0	0	0	1311.8	1311.8	"no"
0	0	0	0	2186	2186	"no"
0	0	0	0	1537.38888888889	1537.38888888889	"no"
0	0	0	0	1571.66666666667	1571.66666666667	"no"
0	0	0	0	4709.48	4709.48	"no"
0	0	0	0	1774	1774	"no"
0	0	0	0	1584.5	1584.5	"no"
0	0	0	0	2312.5	2312.5	"no"
0	0	0	0	1226.42857142857	1226.42857142857	"no"
0	0	0	0	1242.66666666667	1242.66666666667	"no"
0	0	0	0	1177	1177	"no"
0	0	0	0	2588.07407407407	2588.07407407407	"no"
0	0	0	0	978.333333333333	978.333333333333	"no"
0	0	0	0	1402	1402	"no"
0	0	0	0	4828.5	4828.5	"no"
0	0	0	0	2477.33333333333	2477.33333333333	"no"
0	0	0	0	1878	1878	"no"
0	0	0	0	1594.75	1594.75	"no"
0	0	0	0	1781.90909090909	1781.90909090909	"no"
0	0	0	0	3141	3141	"no"
0	0	0	0	2294.16666666667	2294.16666666667	"no"
0	0	0	0	4595	4595	"no"
0	0	0	0	1674	1674	"no"
0	0	0	0	1641.91666666667	1641.91666666667	"no"
163.345311989548	157.08451146717	1.00000000000001	1.00000000000001	838.666666666667	1220	"no"
0	0	0	0	2644.06666666667	2644.06666666667	"no"
0	0	0	0	2418.4	2418.4	"no"
0	0	0	0	2644	2644	"no"
0	0	0	0	941.045454545455	941.045454545455	"no"
0	0	0	0	449	449	"no"
0	0	0	0	1114.375	1114.375	"no"
0	0	0	0	1500	1500	"no"
0	0	0	0	2687.83333333333	2687.83333333333	"no"
0	0	0	0	3350.63157894737	3350.63157894737	"no"
0	0	0	0	1537.68421052632	1537.68421052632	"no"
0	0	0	0	3458	3458	"no"
0	0	0	0	3391.13333333333	3391.13333333333	"no"
0	0	0	0	883.75	883.75	"no"
0	0	0	0	1261.16666666667	1261.16666666667	"no"
326.690623979096	0	2.00000000000002	0	1658.5	1658.5	"no"
0	0	0	0	2303.2	2303.2	"no"
0	0	0	0	1878.05263157895	1878.05263157895	"no"
0	0	0	0	3425	3425	"no"
0	0	0	0	861.68	861.68	"no"
0	0	0	0	1911.83333333333	1911.83333333333	"no"
0	0	0	0	2623.88461538462	2623.88461538462	"no"
0	0	0	0	3167.23529411765	3167.23529411765	"no"
0	0	0	0	1394.625	1394.625	"no"
0	0	0	0	2781.33333333333	2781.33333333333	"no"
0	0	0	0	1876.5	1876.5	"no"
0	0	0	0	4808	4808	"no"
0	157.08451146717	0	1.00000000000001	2339	2339	"no"
0	0	0	0	3364.28571428571	3364.28571428571	"no"
0	0	0	0	9915	9915	"no"
163.345311989548	0	1.00000000000001	0	682	682	"no"
0	0	0	0	2593	2593	"no"
0	0	0	0	944.2	944.2	"no"
163.345311989548	0	1.00000000000001	0	1874	1873.99390663709	"no"
0	0	0	0	1611	1611	"no"
0	0	0	0	1043.66666666667	1043.66666666667	"no"
0	0	0	0	1322.88888888889	1322.88888888889	"no"
0	0	0	0	2274.75	2274.75	"no"
0	0	0	0	6068.33333333333	6068.33333333333	"no"
0	0	0	0	1451.8	1451.8	"no"
0	0	0	0	2947.6	2947.6	"no"
0	0	0	0	1247	1247	"no"
0	0	0	0	3285.66666666667	3285.66666666667	"no"
0	0	0	0	1960.33333333333	1960.33333333333	"no"
0	0	0	0	1172.75	1172.75	"no"
0	0	0	0	1053.1	1053.1	"no"
